number_of_bids_or_proposals_received_prior_to_award_of_contract,explain_why_the_fair_market_value_is_less_than_the_contract_amount,postal_code,amount_expended_for_fiscal_year,city,address_line1,begin_date,procurement_description,address_line2,transaction_number,state,vendor_number,type_of_procurement,renewal_date,number_of_bids_and_proposal_received_from_mwbe_firms,page_number,amount_expended_for_life_to_date,status,award_date,end_date,province_region,fair_market_value,exemption_from_the_publication_requirements_of_article_4c_of_the_economic-development_law?,current_or_outstanding_balance,award_process,plus_4,"if_yes,_basis_for_exemption",country,is_the_vendor_a_minority_or_woman-owned_business_enterprise?,amount,does_the_contract_have_an_end_date,is_the_vendor_a_nys_or_foreign_business_enterprise?,vendor_name,were_mwbe_firms_solicited_as_part_of_this_procurement_proces
2,,11235,26090.08,BROOKLYN,2411 AVENUE X,04/13/2011,6.00E+23 CARPETTILE REPAIR EXISTINGINSTALL NEW VARIOUS LOCATIONS,,,NY,2163,Other Professional Services,,1,2163,30352.11,OPEN,04/13/2011,04/13/2014,,,No,202837.89,Authority Contract - Competitive Bid,,,USA,Yes,233190,Yes,NYS,CULVER FLOOR COVERING COMPANY INC.,Yes
1,,11377,13836,WOODSIDE,61-20 WOODSIDE AVENUE,05/01/2012,4.00E+23 MaintRepair Cummins Sorters,,,NY,2164,Consulting Services,12/01/2014,0,2164,13836,OPEN,05/01/2012,04/30/2015,,,No,40172,Authority Contract - Competitive Bid,,,USA,No,54008,Yes,NYS,CUMMINS ALLISON CORPORATION,No
,,11377,0,WOODSIDE,61-20 WOODSIDE AVE,04/10/2012,6.00E+23 1 Year Preventative Maintenance/Spare Parts/Freight Service-Drawdown Contract,,,NY,2165,Other,,0,2165,18961.5,OPEN,04/10/2012,,,25000,Yes,6038.5,Authority Contract - Non-Competitive Bid,,Sole Source,USA,No,25000,No,Foreign,CUMMINS ALLISON CORPORATION,No
,,11377,0,WOODSIDE,61-20 WOODSIDE AVE,03/25/2011,6.00E+23 CONTRACT MATERIAL SPARE PARTS - TO COVER THE PURCHASE OFPARTS THAT ARE NEEDED TO MAINTAIN,,,NY,2166,Commodities/Supplies,,0,2166,19901.08,OPEN,03/25/2011,,,25000,Yes,5098.92,Authority Contract - Non-Competitive Bid,,Sole Source,USA,No,25000,No,NYS,CUMMINS ALLISON CORPORATION,No
,,11377,0,WOODSIDE,61-20 WOODSIDE AVE,06/26/2013,1 Year Spare Parts/Freight -Drawdown Contract,,6030092297,NY,2167,Commodities/Supplies,,0,2167,13276.39,OPEN,06/26/2013,06/26/2014,,24868,,11591.61,Authority Contract - Non-Competitive Bid,,,USA,No,24868,Yes,NYS,CUMMINS ALLISON CORPORATION,No
,,10473,0,BRONX,890 ZEREGA AVENUE,,78-69-0003 - KIT INSTALLATION,,R111123,NY,2168,Commodities/Supplies,,,2168,,OPEN,,,,,,,Purchased Under State Contract,,,USA,No,,,NYS,CUMMINS POWER SYSTEMS LLC,
,,10473,0,BRONX,890 ZEREGA AVENUE,,INJECTOR BOSCH HPCR,,2000083567,NY,2169,Commodities/Supplies,,,2169,,OPEN,,,,,,,Non Contract Procurement/Purchase Order,,,USA,No,,,NYS,CUMMINS POWER SYSTEMS LLC,
,,10473,13543.2,BRONX,890 ZEREGA AVENUE,,87-25-0093 CONNECTOR HIGH PRE,,R131644,NY,2170,Commodities/Supplies,,,2170,,OPEN,,,,,,,Purchased Under State Contract,,,USA,No,,,NYS,CUMMINS POWER SYSTEMS LLC,
,,10473,7017.39,BRONX,890 ZEREGA AVENUE,,COOLER EXHAUST GAS RECIRCULATION,,2000056556,NY,2171,Commodities/Supplies,,,2171,,COMPLETED,,,,,,,Non Contract Procurement/Purchase Order,,,USA,No,,,NYS,CUMMINS POWER SYSTEMS LLC,
,,10473,13837.5,BRONX,890 ZEREGA AVENUE,,INSITE 5.4 LITE REGISTRATION,,2000055021,NY,2172,Commodities/Supplies,,,2172,,COMPLETED,,,,,,,Non Contract Procurement/Purchase Order,,,USA,No,,,NYS,CUMMINS POWER SYSTEMS LLC,
,,10473,377960,BRONX,890 ZEREGA AVENUE,,various small purchases,,various,NY,2173,Commodities/Supplies,,,2173,,COMPLETED,,,,,,,Non Contract Procurement/Purchase Order,,,USA,No,,,NYS,CUMMINS POWER SYSTEMS LLC,
,,10473,1581.39,BRONX,890 ZEREGA AVENUE,,Cummins Power Systems Non-Warranty PartsLabor,,2000065126,NY,2174,Commodities/Supplies,,,2174,,OPEN,,,,,,,Non Contract Procurement/Purchase Order,,,USA,No,,,NYS,CUMMINS POWER SYSTEMS LLC,
,,10473,9569.34,BRONX,890 ZEREGA AVENUE,,81-25-0003 BELT V RIBBED WAT,,R110963,NY,2175,Commodities/Supplies,,,2175,,OPEN,,,,,,,Purchased Under State Contract,,,USA,No,,,NYS,CUMMINS POWER SYSTEMS LLC,
,,10473,23062.5,BRONX,890 ZEREGA AVENUE,,Insite 5.4 Lite Registration,,R131662,NY,2176,Technology - Software,,,2176,,OPEN,,,,,,,Purchased Under State Contract,,,USA,No,,,NYS,CUMMINS POWER SYSTEMS LLC,
2,,10473,2567866.6,BRONX,890 ZEREGA AVENUE,05/11/2012,6.00E+23 Purchase of Cummins Remanufactured Bus Engine Parts,,,NY,2177,Commodities/Supplies,,0,2177,3032874.66,OPEN,05/10/2012,05/10/2017,,,No,2467125.34,Authority Contract - Competitive Bid,,,USA,No,5500000,Yes,Foreign,CUMMINS POWER SYSTEMS LLC,Yes
1,,10473,2537950,BRONX,890 ZEREGA AVENUE,06/09/2011,6.00E+23 ENGINE FACTORY RECONDITIONED CUMMINS 5.9L EPA 2004 COMPLIANT ISB-260H CM850 ENGINE WITH HIGH PR,,,NY,2178,Commodities/Supplies,,0,2178,2726900,OPEN,06/09/2011,03/31/2014,,,No,578600,Authority Contract - Competitive Bid,,,USA,No,3305500,Yes,Foreign,CUMMINS POWER SYSTEMS LLC,Yes
2,,10473,837434.89,BRONX,890 ZEREGA AVENUE,07/04/2012,Purchase Cummins Reman Bus Par,,J121198,NY,2179,Commodities/Supplies,,0,2179,956858.72,OPEN,05/21/2012,07/03/2017,,,No,1043141.28,Authority Contract - Competitive Bid,,,USA,No,2000000,Yes,NYS,CUMMINS POWER SYSTEMS LLC,Yes
6,,10473,728800,BRONX,890 ZEREGA AVENUE,07/12/2012,6.00E+23 FILTER 200 CPSI CATALYZED DIESEL EXHAUST CENTER SECTION FOR 1999 NOVA,,,NY,2180,Commodities/Supplies,,2,2180,1029430,OPEN,07/12/2012,10/10/2014,,,No,792570,Authority Contract - Competitive Bid,,,USA,No,1822000,Yes,Foreign,CUMMINS POWER SYSTEMS LLC,Yes
9,,10473,566485.92,BRONX,890 ZEREGA AVENUE,02/08/2012,97-78-0794 FILTER DIESEL PART,,PRB110971,NY,2181,Commodities/Supplies,,0,2181,994593.6,OPEN,01/19/2012,04/18/2014,,,No,302702.4,Authority Contract - Competitive Bid,,,USA,No,1297296,Yes,NYS,CUMMINS POWER SYSTEMS LLC,No
1,,10473,618375.6,BRONX,890 ZEREGA AVENUE,09/27/2012,6.00E+23 FILTER DIESEL PARTICULATE FLEETGUARD 2005 2006 AND 2007 ORION VII HYBRID BUS FLEETS EACH FILTER SHALL HAVE A UNIQUE SERIAL NUMBER ENGRAVED ON THE FI,,,NY,2182,Commodities/Supplies,,0,2182,787024.08,OPEN,09/27/2012,04/18/2014,,,Yes,294055.92,Authority Contract - Competitive Bid,,Ride/Piggyback of MTA Ags,USA,No,1081080,Yes,NYS,CUMMINS POWER SYSTEMS LLC,No
6,,10473,488005.44,BRONX,890 ZEREGA AVENUE,02/03/2012,6.00E+23 FILTER DIESEL PARTICULATE,,,NY,2183,Commodities/Supplies,,0,2183,671249.04,OPEN,11/23/2011,02/21/2014,,,No,244968.96,Authority Contract - Competitive Bid,,,USA,No,916218,Yes,Foreign,CUMMINS POWER SYSTEMS LLC,Yes
3,,10473,0,BRONX,890 ZEREGA AVENUE,11/13/2013,6.00E+23 FILTER DIESEL PARTICULATE,,,NY,2184,Commodities/Supplies,,0,2184,0,OPEN,11/13/2013,02/12/2015,,,No,898902,Authority Contract - Competitive Bid,,,USA,No,898902,Yes,NYS,CUMMINS POWER SYSTEMS LLC,Yes
3,,10473,474695,BRONX,890 ZEREGA AVENUE,05/01/2012,78-25-0024 - CATALYST SECTION,,J121195,NY,2185,Commodities/Supplies,,0,2185,609310,OPEN,03/29/2012,06/28/2014,,,No,269230,Authority Contract - Competitive Bid,,,USA,No,878540,Yes,NYS,CUMMINS POWER SYSTEMS LLC,Yes
1,,10473,246000,BRONX,890 ZEREGA AVENUE,06/10/2011,6.00E+23 ENGINE RECONDITIONED FACTORY RECONDITIONED CUMMINS 5.9LPRE02 ISB- 270H ENGINE WITH VP-44 FUELS,,,NY,2186,Commodities/Supplies,,0,2186,795500,OPEN,06/09/2011,06/07/2013,,,No,2000,Authority Contract - Competitive Bid,,,USA,No,797500,Yes,Foreign,CUMMINS POWER SYSTEMS LLC,Yes
2,,10473,0,BRONX,890 ZEREGA AVENUE,01/12/2012,6.00E+23 KIT INSTALLATION CRT/DPF FOR 12.7 LITER SERIES 60 MCI BUS,,,NY,2187,Commodities/Supplies,,0,2187,538200,OPEN,01/12/2012,04/11/2013,,,No,209300,Authority Contract - Competitive Bid,,,USA,No,747500,Yes,Foreign,CUMMINS POWER SYSTEMS LLC,Yes
2,,10473,0,BRONX,890 ZEREGA AVENUE,10/31/2013,6.00E+23 Cummins Engine Model NT-855-C335,,,NY,2188,Commodities/Supplies,,0,2188,0,OPEN,10/31/2013,11/03/2014,,,No,526800,Authority Contract - Competitive Bid,,,USA,No,526800,Yes,NYS,CUMMINS POWER SYSTEMS LLC,Yes
4,,10473,160496.4,BRONX,890 ZEREGA AVENUE,06/19/2012,6.00E+23 SPARK PLUG CUMMINS ISL G CNG ENGINE,,,NY,2189,Commodities/Supplies,,1,2189,212556.15,OPEN,06/19/2012,09/18/2014,,,No,275027.85,Authority Contract - Competitive Bid,,,USA,No,487584,Yes,Foreign,CUMMINS POWER SYSTEMS LLC,Yes
2,,10473,0,BRONX,890 ZEREGA AVENUE,03/01/2012,6.00E+23 PUMP FUEL INJECTION,,,NY,2190,Commodities/Supplies,,0,2190,267020,OPEN,03/01/2012,05/30/2014,,,No,155480,Authority Contract - Competitive Bid,,,USA,No,422500,Yes,Foreign,CUMMINS POWER SYSTEMS LLC,Yes
2,,10473,72200.63,BRONX,890 ZEREGA AVENUE,05/12/2011,6.00E+23 CUMMINS ENGINES REPAIRRETURN,,,NY,2191,Other,,0,2191,338520.4,OPEN,05/12/2011,05/12/2014,,,No,79479.6,Authority Contract - Competitive Bid,,,USA,No,418000,Yes,Foreign,CUMMINS POWER SYSTEMS LLC,No
4,,10473,4212.36,BRONX,890 ZEREGA AVENUE,05/05/2010,Remanufactured Engine Parts,,C2J100673,NY,2192,Commodities/Supplies,,0,2192,387791.99,OPEN,05/05/2010,07/03/2012,,,No,9708.01,Authority Contract - Competitive Bid,,,USA,No,397500,Yes,NYS,CUMMINS POWER SYSTEMS LLC,No
5,,10473,167131.87,BRONX,890 ZEREGA AVENUE,09/26/2012,6.00E+23 FILTER DIESEL PARTICULATE,,,NY,2193,Commodities/Supplies,,1,2193,190671.57,OPEN,09/26/2012,12/24/2014,,,No,162423.93,Authority Contract - Competitive Bid,,,USA,No,353095.5,Yes,Foreign,CUMMINS POWER SYSTEMS LLC,Yes
4,,10473,51816.3,BRONX,890 ZEREGA AVENUE,07/19/2013,6.00E+23 AIR COMPRESSOR WITH ACCESSORY DRIVE GEAR CUMMINS ENGINE,,,NY,2194,Commodities/Supplies,,0,2194,51816.3,OPEN,07/19/2013,10/18/2014,,,No,293625.7,Authority Contract - Competitive Bid,,,USA,No,345442,Yes,Foreign,CUMMINS POWER SYSTEMS LLC,Yes
1,,10473,32600,BRONX,890 ZEREGA AVENUE,09/30/2013,6.00E+23 Engine Cummins 6.7L EPA Compliant 2007 ISB-260H,,,NY,2195,Commodities/Supplies,,0,2195,32600,OPEN,09/30/2013,09/29/2015,,,No,294900,Authority Contract - Competitive Bid,,,USA,No,327500,Yes,Foreign,CUMMINS POWER SYSTEMS LLC,Yes
3,,10473,79009.2,BRONX,890 ZEREGA AVENUE,09/24/2012,6.00E+23 TURBOCHARGER,,,NY,2196,Commodities/Supplies,,0,2196,79009.2,OPEN,09/24/2012,12/23/2014,,,No,228248.8,Authority Contract - Competitive Bid,,,USA,No,307258,Yes,Foreign,CUMMINS POWER SYSTEMS LLC,Yes
4,,10473,84466.8,BRONX,890 ZEREGA AVENUE,11/19/2012,6.00E+23 CONNECTOR HIGH PRESSURE INJECTOR FUEL SUPPLY FOR ORION BUSES WITH CUMMINS ISB 02 ENGINES,,,NY,2197,Commodities/Supplies,,0,2197,84466.8,OPEN,11/19/2012,02/18/2015,,,No,200653.2,Authority Contract - Competitive Bid,,,USA,No,285120,Yes,Foreign,CUMMINS POWER SYSTEMS LLC,Yes
4,,10473,116465.13,BRONX,890 ZEREGA AVENUE,08/02/2012,81-39-1070 SPARK PLUG CUMMINS,,J121303,NY,2198,Commodities/Supplies,,1,2198,153491.04,OPEN,06/20/2012,09/19/2014,,,No,120774.96,Authority Contract - Competitive Bid,,,USA,No,274266,Yes,NYS,CUMMINS POWER SYSTEMS LLC,Yes
4,,10473,93514.77,BRONX,890 ZEREGA AVENUE,04/01/2013,6.00E+23 CATALYST MODULE EXHAUST,,,NY,2199,Commodities/Supplies,,0,2199,93514.77,OPEN,04/01/2013,06/30/2014,,,No,152576.73,Authority Contract - Competitive Bid,,,USA,No,246091.5,Yes,Foreign,CUMMINS POWER SYSTEMS LLC,Yes
6,,10473,120126.36,BRONX,890 ZEREGA AVENUE,04/21/2012,97-78-0809 FILTER DIESEL PARTICULATE,,J111135,NY,2200,Commodities/Supplies,,0,2200,173063.4,OPEN,01/10/2012,04/09/2014,,,No,61081.2,Authority Contract - Competitive Bid,,,USA,No,234144.6,Yes,NYS,CUMMINS POWER SYSTEMS LLC,No
3,,10473,92105,BRONX,890 ZEREGA AVENUE,03/06/2012,6.00E+23 CATALYST SECTION FLEETGUARD CRT EXHAUST SYSTEM,,,NY,2201,Commodities/Supplies,,0,2201,141700,OPEN,03/06/2012,06/05/2014,,,No,70850,Authority Contract - Competitive Bid,,,USA,No,212550,Yes,Foreign,CUMMINS POWER SYSTEMS LLC,Yes
3,,10473,0,BRONX,890 ZEREGA AVENUE,12/18/2013,6.00E+23 CATALYST MODULE INLET FOR EXHAUST DIESEL PARTICULATE FILTER,,,NY,2202,Commodities/Supplies,,0,2202,0,OPEN,12/18/2013,03/17/2015,,,No,208594.56,Authority Contract - Competitive Bid,,,USA,No,208594.56,Yes,Foreign,CUMMINS POWER SYSTEMS LLC,Yes
6,,10473,0,BRONX,890 ZEREGA AVENUE,02/02/2011,6.00E+23 TURBOCHARGER 2008 AND 2009 ORION VII HYBRID,,,NY,2203,Commodities/Supplies,,0,2203,161684,OPEN,02/02/2011,05/01/2013,,,No,33116,Authority Contract - Competitive Bid,,,USA,No,194800,Yes,Foreign,CUMMINS POWER SYSTEMS LLC,Yes
7,,10473,4163.11,BRONX,890 ZEREGA AVENUE,08/09/2010,86-27-0685 Kit Air Comp Cyl,,C2PRB100644,NY,2204,Commodities/Supplies,,0,2204,124120.17,OPEN,08/09/2010,11/09/2012,,,No,39430.58,Authority Contract - Competitive Bid,,,USA,No,163550.75,Yes,NYS,CUMMINS POWER SYSTEMS LLC,No
6,,10473,4591.35,BRONX,890 ZEREGA AVENUE,09/10/2010,97-87-5202 TURBOCHARGER 2002,,C2J100722,NY,2205,Commodities/Supplies,,0,2205,108661.95,OPEN,09/10/2010,12/09/2012,,,No,52035.3,Authority Contract - Competitive Bid,,,USA,No,160697.25,Yes,NYS,CUMMINS POWER SYSTEMS LLC,No
3,,10473,90476.78,BRONX,890 ZEREGA AVENUE,12/10/2012,97-87-5205 TURBOCHARGER,,J121310,NY,2206,Commodities/Supplies,,0,2206,90476.78,OPEN,10/10/2012,01/09/2015,,,No,67541.62,Authority Contract - Competitive Bid,,,USA,No,158018.4,Yes,NYS,CUMMINS POWER SYSTEMS LLC,Yes
1,,10473,12761.85,BRONX,890 ZEREGA AVENUE,05/02/2011,CUMMINS PTS FOR VARIOUS CUMMINS ENGINES AS SPECIFIED,,1000004600,NY,2207,Commodities/Supplies,,0,2207,31825.1,OPEN,05/19/2011,07/31/2014,,,,118174.9,Authority Contract - Competitive Bid,,,USA,No,150000,Yes,Foreign,CUMMINS POWER SYSTEMS LLC,Yes
3,,10473,60617.6,BRONX,890 ZEREGA AVENUE,10/19/2012,6.00E+23 Engine Cummins for 20062007 hybrid Bus required to match Engine Serial Number 46586837 and Configuration Number - D403061BD01.,,,NY,2208,Commodities/Supplies,,1,2208,138735.2,OPEN,10/19/2012,12/03/2012,,,No,0,Authority Contract - Competitive Bid,,,USA,No,138735.2,Yes,NYS,CUMMINS POWER SYSTEMS LLC,Yes
2,,10473,24304.8,BRONX,890 ZEREGA AVENUE,11/10/2012,86-27-0685CYLINDER HEAD KIT,,J121243,NY,2209,Commodities/Supplies,,0,2209,24304.8,OPEN,04/13/2012,11/09/2014,,,No,106567.2,Authority Contract - Competitive Bid,,,USA,No,130872,Yes,NYS,CUMMINS POWER SYSTEMS LLC,No
7,,10473,31924.79,BRONX,890 ZEREGA AVENUE,12/14/2010,BELT V RIBBED ALTERNATOR,,C600958619,NY,2210,Commodities/Supplies,,0,2210,125118.99,OPEN,12/14/2010,03/14/2013,,,No,38.51,Authority Contract - Competitive Bid,,,USA,No,125157.5,Yes,Foreign,CUMMINS POWER SYSTEMS LLC,Yes
6,,10473,74862.96,BRONX,890 ZEREGA AVENUE,03/13/2013,6.00E+23 FILTER DIESEL PARTICULATE,,,NY,2211,Commodities/Supplies,,0,2211,74862.96,OPEN,03/13/2013,06/12/2014,,,No,37431.48,Authority Contract - Competitive Bid,,,USA,No,112294.44,Yes,Foreign,CUMMINS POWER SYSTEMS LLC,Yes
7,,10473,46624.9,BRONX,890 ZEREGA AVENUE,04/16/2012,6.00E+23 FILTER AIR SERIES 50 ENGINE FILTER MUST BE INDIVIDUALLY BOXED ON A PALLET,,,NY,2212,Commodities/Supplies,,0,2212,63179.9,OPEN,04/16/2012,07/15/2014,,,No,42170.1,Authority Contract - Competitive Bid,,,USA,No,105350,Yes,Foreign,CUMMINS POWER SYSTEMS LLC,Yes
7,,10473,48486.9,BRONX,890 ZEREGA AVENUE,01/25/2012,6.00E+23 GASKET CIRCULAR DIESEL PARTICULATE FILTER,,,NY,2213,Commodities/Supplies,,4,2213,79971.9,OPEN,11/29/2011,04/29/2014,,,No,18681.1,Authority Contract - Competitive Bid,,,USA,No,98653,Yes,Foreign,CUMMINS POWER SYSTEMS LLC,Yes
6,,10473,62099,BRONX,890 ZEREGA AVENUE,03/15/2013,6.00E+23 BELT V RIBBED ALTERNATOR,,,NY,2214,Commodities/Supplies,,1,2214,62099,OPEN,12/12/2012,03/14/2014,,,No,36501,Authority Contract - Competitive Bid,,,USA,No,98600,Yes,NYS,CUMMINS POWER SYSTEMS LLC,Yes
3,,10473,0,BRONX,890 ZEREGA AVENUE,06/01/2012,6.00E+23 ACTUATOR KIT TURBO ELECTRIC,,,NY,2215,Commodities/Supplies,,0,2215,5362.92,OPEN,06/01/2012,08/29/2014,,,No,84019.08,Authority Contract - Competitive Bid,,,USA,No,89382,Yes,Foreign,CUMMINS POWER SYSTEMS LLC,Yes
6,,10473,10573.2,BRONX,890 ZEREGA AVENUE,04/28/2011,6.00E+23 CLAMP V-BAND FOR NELSON CATALYTIC TRAP BUS NUMBERS 6365-6489,,,NY,2216,Commodities/Supplies,,0,2216,81541.8,OPEN,02/02/2011,05/02/2013,,,No,1121.4,Authority Contract - Competitive Bid,,,USA,No,82663.2,Yes,Foreign,CUMMINS POWER SYSTEMS LLC,Yes
3,,10473,41250,BRONX,890 ZEREGA AVENUE,04/24/2012,6.00E+23 STARTER MOTOR 24 VOLTS CUMMINS ENGINE,,,NY,2217,Commodities/Supplies,,0,2217,49500,OPEN,04/24/2012,07/23/2014,,,No,33000,Authority Contract - Competitive Bid,,,USA,No,82500,Yes,Foreign,CUMMINS POWER SYSTEMS LLC,Yes
4,,10473,12126.9,BRONX,890 ZEREGA AVENUE,03/14/2012,6.00E+23 BRACKET WATER INLET CUMMINS ENGINE NIEHOFF SUPPORT,,,NY,2218,Commodities/Supplies,,0,2218,12126.9,OPEN,03/14/2012,06/13/2014,,,No,68719.1,Authority Contract - Competitive Bid,,,USA,No,80846,Yes,Foreign,CUMMINS POWER SYSTEMS LLC,Yes
3,,10473,0,BRONX,890 ZEREGA AVENUE,12/18/2013,6.00E+23 COOLER EXHAUST GAS RECIRCULATION,,,NY,2219,Commodities/Supplies,,0,2219,0,OPEN,12/18/2013,03/17/2015,,,No,78219.84,Authority Contract - Competitive Bid,,,USA,No,78219.84,Yes,Foreign,CUMMINS POWER SYSTEMS LLC,Yes
7,,10473,50538.68,BRONX,890 ZEREGA AVENUE,04/27/2012,6.00E+23 BELT V-RIBBED WATER PUMP AND DRIVE BELT,,,NY,2220,Commodities/Supplies,,1,2220,59728.04,OPEN,04/27/2012,07/26/2014,,,No,17845.96,Authority Contract - Competitive Bid,,,USA,No,77574,Yes,Foreign,CUMMINS POWER SYSTEMS LLC,Yes
,,10473,77539.08,BRONX,890 ZEREGA AVENUE,08/20/2012,prototype conversion,,MSN121396,NY,2221,Other,,0,2221,77539.08,OPEN,08/20/2012,08/19/2013,,77539.08,Yes,0,Authority Contract - Non-Competitive Bid,,Sole Source,USA,No,77539.08,Yes,NYS,CUMMINS POWER SYSTEMS LLC,No
7,,10473,12897.6,BRONX,890 ZEREGA AVENUE,02/03/2011,6.00E+23 FILTER DIESEL PARTICULATE,,,NY,2222,Commodities/Supplies,,0,2222,70936.8,OPEN,02/02/2011,05/01/2013,,,No,6448.8,Authority Contract - Competitive Bid,,,USA,No,77385.6,Yes,Foreign,CUMMINS POWER SYSTEMS LLC,Yes
2,,10473,14436.48,BRONX,890 ZEREGA AVENUE,06/12/2013,6.00E+23 VALVE EGR REPLACEMENT KIT CONSISTING OF 1 EGR VALVE CUMMINS No4996637 2 EGR VALVE GASKET CUMMINS No3979769 3 EGR CONNECTION GASKET No3949910 USED ON CUM,,,NY,2223,Commodities/Supplies,,0,2223,14436.48,OPEN,06/12/2013,09/11/2014,,,No,53234.52,Authority Contract - Competitive Bid,,,USA,No,67671,Yes,Foreign,CUMMINS POWER SYSTEMS LLC,Yes
3,,10473,16045.6,BRONX,890 ZEREGA AVENUE,08/28/2012,6.00E+23 BRACKET ALTERNATOR CUMMINS HYBRID,,,NY,2224,Commodities/Supplies,,0,2224,21862.13,OPEN,08/28/2012,11/27/2014,,,No,43323.12,Authority Contract - Competitive Bid,,,USA,No,65185.25,Yes,Foreign,CUMMINS POWER SYSTEMS LLC,Yes
5,,10473,37209.2,BRONX,890 ZEREGA AVENUE,04/19/2013,6.00E+23 KIT AIR COMPRESSOR HEAD REPAIR,,,NY,2225,Commodities/Supplies,,0,2225,37209.2,OPEN,04/19/2013,07/18/2014,,,No,26578,Authority Contract - Competitive Bid,,,USA,No,63787.2,Yes,Foreign,CUMMINS POWER SYSTEMS LLC,Yes
2,,10473,29290.4,BRONX,890 ZEREGA AVENUE,04/09/2012,6.00E+23 CYLINDER HEAD KIT AIR COMPRESSOR,,,NY,2226,Commodities/Supplies,,0,2226,43000.8,OPEN,04/09/2012,07/08/2014,,,No,16203.2,Authority Contract - Competitive Bid,,,USA,No,59204,Yes,Foreign,CUMMINS POWER SYSTEMS LLC,Yes
7,,10473,31504,BRONX,890 ZEREGA AVENUE,10/17/2011,6.00E+23 BELT V RIBBED WATER PUMP DRIVE,,,NY,2227,Commodities/Supplies,,1,2227,51981.6,OPEN,10/17/2011,01/16/2014,,,No,5907,Authority Contract - Competitive Bid,,,USA,No,57888.6,Yes,Foreign,CUMMINS POWER SYSTEMS LLC,Yes
4,,10473,7936.4,BRONX,890 ZEREGA AVENUE,03/12/2013,6.00E+23 EFC FUEL CONTROL SOLENOID,,,NY,2228,Commodities/Supplies,,0,2228,7936.4,OPEN,03/12/2013,03/11/2015,,,No,49063.6,Authority Contract - Competitive Bid,,,USA,No,57000,Yes,NYS,CUMMINS POWER SYSTEMS LLC,No
4,,10473,14977.94,BRONX,890 ZEREGA AVENUE,05/02/2013,6.00E+23 MANIFOLD FUEL CUMMINS ENGINE,,,NY,2229,Commodities/Supplies,,0,2229,14977.94,OPEN,05/02/2013,08/01/2014,,,Yes,41496.26,Authority Contract - Competitive Bid,,Sole Source,USA,No,56474.2,Yes,Foreign,CUMMINS POWER SYSTEMS LLC,Yes
4,,10473,34503,BRONX,890 ZEREGA AVENUE,02/28/2013,6.00E+23 CLAMP V-BAND FOR DIESEL PARTICULATE FILTER,,,NY,2230,Commodities/Supplies,,0,2230,34503,OPEN,02/28/2013,05/27/2014,,,No,21917,Authority Contract - Competitive Bid,,,USA,No,56420,Yes,Foreign,CUMMINS POWER SYSTEMS LLC,Yes
3,,10473,0,BRONX,890 ZEREGA AVENUE,12/18/2013,6.00E+23 MODULE CATALYST DIESEL PARTICULATE FILTER ASSEMBLY,,,NY,2231,Commodities/Supplies,,0,2231,0,OPEN,12/18/2013,03/17/2015,,,No,52416.24,Authority Contract - Competitive Bid,,,USA,No,52416.24,Yes,Foreign,CUMMINS POWER SYSTEMS LLC,Yes
6,,10473,9740,BRONX,890 ZEREGA AVENUE,05/14/2011,97-87-5108 - TURBOCHARGER 200,,J100784,NY,2232,Commodities/Supplies,,0,2232,29220,OPEN,02/14/2011,05/13/2013,,,No,19480,Authority Contract - Competitive Bid,,,USA,No,48700,Yes,NYS,CUMMINS POWER SYSTEMS LLC,No
5,,10473,8759.4,BRONX,890 ZEREGA AVENUE,02/02/2011,6.00E+23 CLAMP V BAND DIESEL PARTICULAR FILTER,,,NY,2233,Commodities/Supplies,,0,2233,32578.23,OPEN,02/02/2011,05/02/2013,,,No,15261.57,Authority Contract - Competitive Bid,,,USA,No,47839.8,Yes,Foreign,CUMMINS POWER SYSTEMS LLC,Yes
3,,10473,4925.76,BRONX,890 ZEREGA AVENUE,05/03/2012,6.00E+23 BRACKET WATER INLET CUMMINS ENGINE NIEHOFF SUPPORT,,,NY,2234,Commodities/Supplies,,0,2234,4925.76,OPEN,05/03/2012,08/02/2014,,,No,33556.74,Authority Contract - Competitive Bid,,,USA,No,38482.5,Yes,Foreign,CUMMINS POWER SYSTEMS LLC,Yes
4,,10473,13330.32,BRONX,890 ZEREGA AVENUE,02/06/2013,81-27-1033 EFC FUEL CONTROL S,,JPRB121445,NY,2235,Commodities/Supplies,,0,2235,13330.32,OPEN,02/06/2013,05/04/2015,,,No,24795,Authority Contract - Competitive Bid,,,USA,No,38125.32,Yes,NYS,CUMMINS POWER SYSTEMS LLC,No
4,,10473,18119.35,BRONX,890 ZEREGA AVENUE,08/25/2012,Pump Water Cummins Engine,,PRB121301,NY,2236,Commodities/Supplies,,0,2236,20785.04,OPEN,07/25/2012,10/24/2014,,,No,17050.56,Authority Contract - Competitive Bid,,,USA,No,37835.6,Yes,NYS,CUMMINS POWER SYSTEMS LLC,Yes
3,,10473,12736,BRONX,890 ZEREGA AVENUE,12/13/2012,6.00E+23 ELEMENT SAFETY,,,NY,2237,Commodities/Supplies,,0,2237,12736,OPEN,12/13/2012,03/12/2015,,,No,23880,Authority Contract - Competitive Bid,,,USA,No,36616,Yes,Foreign,CUMMINS POWER SYSTEMS LLC,Yes
