number_of_bids_or_proposals_received_prior_to_award_of_contract,explain_why_the_fair_market_value_is_less_than_the_contract_amount,postal_code,amount_expended_for_fiscal_year,city,address_line1,begin_date,procurement_description,address_line2,transaction_number,state,vendor_number,type_of_procurement,renewal_date,number_of_bids_and_proposal_received_from_mwbe_firms,page_number,amount_expended_for_life_to_date,status,award_date,end_date,province_region,fair_market_value,exemption_from_the_publication_requirements_of_article_4c_of_the_economic-development_law?,current_or_outstanding_balance,award_process,plus_4,"if_yes,_basis_for_exemption",country,is_the_vendor_a_minority_or_woman-owned_business_enterprise?,amount,does_the_contract_have_an_end_date,is_the_vendor_a_nys_or_foreign_business_enterprise?,vendor_name,were_mwbe_firms_solicited_as_part_of_this_procurement_proces
,,13424,89900,ORISKANY,165 BASE RD,10/29/2010,"C2OM090484 91-19-0550 ACTUATOR ASM, ROTAR",,,NY,2714,Commodities/Supplies,,,2714,194880,OPEN,10/29/2010,01/28/2013,,232000,Yes,37120,Authority Contract - Non-Competitive Bid,,Sole Source,USA,No,232000,Yes,NYS,DAIMLER BUSES NORTH AMERICA INC.,No
2,,13424,62709.36,ORISKANY,165 BASE RD,04/25/2012,AIR SPRING REAR,,0600000000000000000002736,NY,2715,Commodities/Supplies,,0,2715,62709.36,OPEN,04/25/2012,07/24/2014,,,No,168122.64,Authority Contract - Competitive Bid,,,USA,No,230832,Yes,NYS,DAIMLER BUSES NORTH AMERICA INC.,Yes
3,,13424,83617.3,ORISKANY,165 BASE RD,02/03/2012,AIR BAG FRONT,,0600000000000000000001895,NY,2716,Commodities/Supplies,,0,2716,83617.3,OPEN,01/17/2012,05/02/2014,,,No,146170.7,Authority Contract - Competitive Bid,,,USA,No,229788,Yes,NYS,DAIMLER BUSES NORTH AMERICA INC.,Yes
0,,13424,36180,ORISKANY,165 BASE RD,01/25/2010,C600922517 FILTER ELEMENT HYBRID COOLING ORION,,,NY,2717,Commodities/Supplies,,0,2717,216410,OPEN,12/31/2009,03/30/2012,,,No,4690,Authority Contract - Non-Competitive Bid,,,USA,No,221100,Yes,NYS,DAIMLER BUSES NORTH AMERICA INC.,No
7,,13424,87994.25,ORISKANY,165 BASE RD,07/29/2011,SHOCK ABSORBER ASSEMBLY FRONT,,0600000000000000000000900,NY,2718,Commodities/Supplies,,0,2718,112347.75,OPEN,07/29/2011,10/28/2013,,,Yes,108212.25,Authority Contract - Competitive Bid,,Emergency or Critical Need,USA,No,220560,Yes,NYS,DAIMLER BUSES NORTH AMERICA INC.,Yes
2,,13424,133687.5,ORISKANY,165 BASE RD,12/09/2011,VALVE ASSEMBLY KNEELING MOMENTARY,,0600000000000000000001694,NY,2719,Commodities/Supplies,,0,2719,133687.5,OPEN,12/09/2011,03/08/2014,,,No,79437.5,Authority Contract - Competitive Bid,,,USA,No,213125,Yes,NYS,DAIMLER BUSES NORTH AMERICA INC.,Yes
0,,13424,43335,ORISKANY,165 BASE RD,01/22/2010,C600924678 SENSOR EXHAUST BACK PRESSURE,,,NY,2720,Commodities/Supplies,,0,2720,195615,OPEN,01/22/2010,04/20/2012,,,No,17010,Authority Contract - Non-Competitive Bid,,,USA,No,212625,Yes,NYS,DAIMLER BUSES NORTH AMERICA INC.,No
6,,13424,71965.52,ORISKANY,165 BASE RD,11/08/2011,COVERING FLOOR BLACK WITH WHITE AND GRAY CHIPS 3/16 RIBBED X 46 WIDE,,0600000000000000000001537,NY,2721,Commodities/Supplies,,0,2721,71965.52,OPEN,11/08/2011,02/08/2013,,,No,136570.93,Authority Contract - Competitive Bid,,,USA,No,208536.45,Yes,NYS,DAIMLER BUSES NORTH AMERICA INC.,Yes
0,,13424,57785,ORISKANY,165 BASE RD,02/28/2011,C600955964 COOLER ASSEMBLY HYDRAULIC OIL,,,NY,2722,Commodities/Supplies,,0,2722,177800,OPEN,11/29/2010,02/29/2012,,204470,No,26670,Authority Contract - Non-Competitive Bid,,,USA,No,204470,Yes,NYS,DAIMLER BUSES NORTH AMERICA INC.,No
1,,13424,41908.15,ORISKANY,165 BASE RD,04/24/2012,MOTOR SWITCH VALVE,,0600000000000000000002721,NY,2723,Commodities/Supplies,,0,2723,41908.15,OPEN,04/24/2012,07/23/2014,,204430,Yes,162521.85,Authority Contract - Non-Competitive Bid,,Sole Source,USA,No,204430,Yes,NYS,DAIMLER BUSES NORTH AMERICA INC.,No
10,,13424,67368.84,ORISKANY,165 BASE RD,10/04/2011,"J110939 85-11-1028 DRUM, REAR BRAKE, M",,,NY,2724,Commodities/Supplies,,0,2724,89241.84,OPEN,10/04/2011,03/31/2013,,,No,114906.16,Authority Contract - Competitive Bid,,,USA,No,204148,Yes,NYS,DAIMLER BUSES NORTH AMERICA INC.,Yes
,,13424,57056.16,ORISKANY,165 BASE RD,03/01/2010,"C2JOM090225 88-21-0098 Cable, PCS Traction",,,NY,2725,Commodities/Supplies,,,2725,75395.64,OPEN,03/01/2010,05/31/2012,,193583.4,Yes,118187.76,Authority Contract - Non-Competitive Bid,,Sole Source,USA,No,193583.4,Yes,NYS,DAIMLER BUSES NORTH AMERICA INC.,No
1,,13424,0,ORISKANY,165 BASE RD,07/30/2012,CHARGER AIR COOLER ASSEMBLY,,0600000000000000000003294,NY,2726,Commodities/Supplies,,0,2726,0,OPEN,07/30/2012,10/29/2014,,187902,Yes,187902,Authority Contract - Non-Competitive Bid,,Sole Source,USA,No,187902,Yes,NYS,DAIMLER BUSES NORTH AMERICA INC.,No
1,,13424,56063.88,ORISKANY,165 BASE RD,07/17/2012,TANK ASSEMBLY DIESEL FUEL 160 GALLON 12 GA. ALUMINIZED STEEL,,0600000000000000000003223,NY,2727,Commodities/Supplies,,0,2727,56063.88,OPEN,07/17/2012,10/16/2014,,186880,Yes,130815.72,Authority Contract - Non-Competitive Bid,,Sole Source,USA,No,186879.6,Yes,NYS,DAIMLER BUSES NORTH AMERICA INC.,No
17,,13424,18500,ORISKANY,165 BASE RD,02/16/2010,C600918038 CHAMBER REAR BRAKE NON-PRESSURE,,,NY,2728,Commodities/Supplies,,0,2728,109520,OPEN,11/18/2009,02/17/2012,,,No,68080,Authority Contract - Competitive Bid,,,USA,No,177600,Yes,NYS,DAIMLER BUSES NORTH AMERICA INC.,Yes
7,,13424,0,ORISKANY,165 BASE RD,09/16/2011,CONDENSER CORE COPPER 134A,,0600000000000000000001190,NY,2729,Commodities/Supplies,,0,2729,19696,OPEN,09/16/2011,12/15/2013,,,No,157568,Authority Contract - Competitive Bid,,,USA,No,177264,Yes,NYS,DAIMLER BUSES NORTH AMERICA INC.,Yes
2,,13424,61172.8,ORISKANY,165 BASE RD,05/22/2012,FILTER ELEMENT HYBRID COOLING ORION HYBRID,,0600000000000000000002916,NY,2730,Commodities/Supplies,,0,2730,61172.8,OPEN,05/22/2012,08/21/2014,,176800,Yes,115627.2,Authority Contract - Non-Competitive Bid,,Sole Source,USA,No,176800,Yes,NYS,DAIMLER BUSES NORTH AMERICA INC.,No
,,13424,40996.8,ORISKANY,165 BASE RD,03/01/2010,C2OM090217 97-79-0093 Surge Tank Assm,,,NY,2731,Commodities/Supplies,,,2731,154876.8,OPEN,03/01/2010,09/01/2012,,176601.6,Yes,21724.8,Authority Contract - Non-Competitive Bid,,Sole Source,USA,No,176601.6,Yes,NYS,DAIMLER BUSES NORTH AMERICA INC.,No
5,,13424,19239,ORISKANY,165 BASE RD,09/28/2012,PRB121260 88-87-0304 sensor fire/heat infrared,,,NY,2732,Commodities/Supplies,,0,2732,19239,OPEN,07/12/2012,10/11/2014,,,No,155661,Authority Contract - Competitive Bid,,,USA,No,174900,Yes,NYS,DAIMLER BUSES NORTH AMERICA INC.,Yes
0,,13424,2025,ORISKANY,165 BASE RD,03/22/2010,C600928039 BOLT SEAT RAIL 3/8 NF,,,NY,2733,Commodities/Supplies,,0,2733,148333.95,OPEN,02/24/2010,05/24/2012,,174150,No,25816.05,Authority Contract - Non-Competitive Bid,,,USA,No,174150,Yes,NYS,DAIMLER BUSES NORTH AMERICA INC.,No
0,,13424,41340,ORISKANY,165 BASE RD,06/28/2010,C600931665 RADIATOR/COOLER ASSEMBLY SIDE BY SIDE,,,NY,2734,Commodities/Supplies,,0,2734,41340,OPEN,03/30/2010,06/29/2012,,165360,No,124020,Authority Contract - Non-Competitive Bid,,,USA,No,165360,Yes,NYS,DAIMLER BUSES NORTH AMERICA INC.,No
0,,13424,54180,ORISKANY,165 BASE RD,10/08/2010,C600946421 TANK FUEL WELDMENT 100 GALLON,,,NY,2735,Commodities/Supplies,,0,2735,125775,OPEN,09/02/2010,11/30/2012,,164475,No,38700,Authority Contract - Non-Competitive Bid,,,USA,No,164475,Yes,NYS,DAIMLER BUSES NORTH AMERICA INC.,No
1,,13424,64448,ORISKANY,165 BASE RD,03/29/2012,PUMP ASSEMBLY CIRCULATING INCLUDES VALVES AND FITTINGS (PUMP ONLY 79-25- 0039),,0600000000000000000002522,NY,2736,Commodities/Supplies,,0,2736,64448,OPEN,03/29/2012,06/28/2014,,161120,Yes,96672,Authority Contract - Non-Competitive Bid,,Sole Source,USA,No,161120,Yes,NYS,DAIMLER BUSES NORTH AMERICA INC.,No
0,,13424,64183.6,ORISKANY,165 BASE RD,09/27/2010,C600948557 DOOR ASSEMBLY A/C,,,NY,2737,Commodities/Supplies,,0,2737,121948.84,OPEN,09/27/2010,12/27/2012,,160459,No,38510.16,Authority Contract - Non-Competitive Bid,,,USA,No,160459,Yes,NYS,DAIMLER BUSES NORTH AMERICA INC.,No
1,,13424,39999.6,ORISKANY,165 BASE RD,07/02/2012,POWER PACK ASSEMBLY 2000 PSI WITH THERMAL CUTOUT HYDRAULIC RAMP,,0600000000000000000003142,NY,2738,Commodities/Supplies,,0,2738,39999.6,OPEN,07/02/2012,10/01/2014,,159998.4,Yes,119998.8,Authority Contract - Non-Competitive Bid,,Sole Source,USA,No,159998.4,Yes,NYS,DAIMLER BUSES NORTH AMERICA INC.,No
7,,13424,82162.5,ORISKANY,165 BASE RD,02/14/2012,DRUM BRAKE FRONT MATERIAL MUST CONFORM TO SAE 431 GRADE G11H20B SPECIFICATION. NOTE: THE DRUMS ARE NOT TO BE STACKED MORE THAN 3 HIGH PER PALL,,0600000000000000000002101,NY,2739,Commodities/Supplies,,0,2739,82162.5,OPEN,02/14/2012,05/13/2013,,,No,75589.5,Authority Contract - Competitive Bid,,,USA,No,157752,Yes,NYS,DAIMLER BUSES NORTH AMERICA INC.,Yes
8,,13424,22917.6,ORISKANY,165 BASE RD,05/26/2010,"C2J100581 80-11-0301 DRUM, BRAKE, FRONT",,,NY,2740,Commodities/Supplies,,0,2740,156699.09,OPEN,05/26/2010,12/30/2011,,,No,0,Authority Contract - Competitive Bid,,,USA,No,156699.09,Yes,NYS,DAIMLER BUSES NORTH AMERICA INC.,Yes
1,,13424,87107.68,ORISKANY,165 BASE RD,10/19/2011,CONTROL MODULE HYDRAULIC 24V,,0600000000000000000001426,NY,2741,Commodities/Supplies,,0,2741,97236.48,OPEN,10/19/2011,01/20/2014,,151932,Yes,54695.52,Authority Contract - Non-Competitive Bid,,Sole Source,USA,No,151932,Yes,NYS,DAIMLER BUSES NORTH AMERICA INC.,No
,,13424,52300,ORISKANY,165 BASE RD,05/12/2011,OMJ100550A 80-19-0003 - Drag Link Assy.,,,NY,2742,Commodities/Supplies,,,2742,97278,OPEN,05/12/2011,04/23/2013,,151670,Yes,54392,Authority Contract - Non-Competitive Bid,,Sole Source,USA,No,151670,Yes,NYS,DAIMLER BUSES NORTH AMERICA INC.,No
7,,13424,78445.3,ORISKANY,165 BASE RD,10/27/2010,"C2J100741 77-15-0007 - Wheel, steel",,,NY,2743,Commodities/Supplies,,0,2743,135595.2,OPEN,10/27/2010,07/16/2012,,,No,15645.6,Authority Contract - Competitive Bid,,,USA,No,151240.8,Yes,NYS,DAIMLER BUSES NORTH AMERICA INC.,Yes
3,,13424,57023.64,ORISKANY,165 BASE RD,04/11/2012,RELAY CRITICAL 4 FORM C 36 VOLT USEDON CONTROL PANEL R44 GOH MAIN CONTROL GROUP,,0600000000000000000002559,NY,2744,Commodities/Supplies,,0,2744,57023.64,OPEN,04/03/2012,07/02/2014,,,No,94032.36,Authority Contract - Competitive Bid,,,USA,No,151056,Yes,NYS,DAIMLER BUSES NORTH AMERICA INC.,No
,,13424,30067.5,ORISKANY,165 BASE RD,03/23/2010,C2OM090481 97-79-3004 Radiator Assembly,,,NY,2745,Commodities/Supplies,,,2745,100225,OPEN,03/23/2010,12/31/2011,,150337.5,Yes,50112.5,Authority Contract - Non-Competitive Bid,,Sole Source,USA,No,150337.5,Yes,NYS,DAIMLER BUSES NORTH AMERICA INC.,No
5,,13424,11239.5,ORISKANY,165 BASE RD,07/02/2012,MODULE I/O CONTROL 32 LED,,0600000000000000000003144,NY,2746,Commodities/Supplies,,0,2746,11239.5,OPEN,07/02/2012,10/01/2014,,,No,138620.5,Authority Contract - Competitive Bid,,,USA,No,149860,Yes,NYS,DAIMLER BUSES NORTH AMERICA INC.,Yes
0,,13424,43075.5,ORISKANY,165 BASE RD,11/03/2010,C600953237 FLEX SHAFT SQUARE SHAFT   WITH FLANGE MO,,,NY,2747,Commodities/Supplies,,0,2747,103106.25,OPEN,11/03/2010,02/01/2013,,148473,No,45366.75,Authority Contract - Non-Competitive Bid,,,USA,No,148473,Yes,NYS,DAIMLER BUSES NORTH AMERICA INC.,No
,,13424,27540,ORISKANY,165 BASE RD,04/30/2010,"C2OM100642 88-27-0460 Sensor, exhaust bck",,,NY,2748,Commodities/Supplies,,,2748,105300,OPEN,04/30/2010,05/20/2012,,145800,Yes,40500,Authority Contract - Non-Competitive Bid,,Sole Source,USA,No,145800,Yes,NYS,DAIMLER BUSES NORTH AMERICA INC.,No
4,,13424,19966.08,ORISKANY,165 BASE RD,05/14/2012,HARNESS WIRING REAR PASSENGER DOOR,,0600000000000000000002868,NY,2749,Commodities/Supplies,,0,2749,19966.08,OPEN,05/14/2012,08/13/2014,,,No,125619.92,Authority Contract - Competitive Bid,,,USA,No,145586,Yes,NYS,DAIMLER BUSES NORTH AMERICA INC.,Yes
0,,13424,11880.4,ORISKANY,165 BASE RD,01/06/2010,C600922968 BOARD PCB MAIN ELECTRICAL PANEL,,,NY,2750,Commodities/Supplies,,0,2750,95637.22,OPEN,01/06/2010,04/06/2012,,,No,46927.58,Authority Contract - Non-Competitive Bid,,,USA,No,142564.8,Yes,NYS,DAIMLER BUSES NORTH AMERICA INC.,No
4,,13424,0,ORISKANY,165 BASE RD,12/17/2012,VALVE ASSEMBLY SKINNER REAR DOOR OPEN/ CLOSE ORION,,0600000000000000000004149,NY,2751,Commodities/Supplies,,0,2751,0,OPEN,12/17/2012,03/16/2015,,,No,139958,Authority Contract - Competitive Bid,,,USA,No,139958,Yes,NYS,DAIMLER BUSES NORTH AMERICA INC.,Yes
1,,13424,67490,ORISKANY,165 BASE RD,07/26/2011,CABLE PCS/GENERATOR,,0600000000000000000000885,NY,2752,Commodities/Supplies,,0,2752,67490,OPEN,07/26/2011,10/25/2013,,138950,Yes,71460,Authority Contract - Non-Competitive Bid,,Sole Source,USA,No,138950,Yes,NYS,DAIMLER BUSES NORTH AMERICA INC.,No
,,13424,58370,ORISKANY,165 BASE RD,03/02/2010,"C2OMJ090476 80-25-0034    TANK ASM, HYDRAULI",,,NY,2753,Commodities/Supplies,,,2753,134700,OPEN,03/02/2010,05/04/2012,,136945,Yes,2245,Authority Contract - Non-Competitive Bid,,Sole Source,USA,No,136945,Yes,NYS,DAIMLER BUSES NORTH AMERICA INC.,No
0,,13424,31590,ORISKANY,165 BASE RD,05/06/2010,C600930963 POWER PACK ASSEMBLY 2000 PSI WITH,,,NY,2754,Commodities/Supplies,,0,2754,115830,OPEN,03/24/2010,06/22/2012,,136890,No,21060,Authority Contract - Non-Competitive Bid,,,USA,No,136890,Yes,NYS,DAIMLER BUSES NORTH AMERICA INC.,No
1,,13424,0,ORISKANY,165 BASE RD,12/31/2012,VALVE SPRING SR-1 ASSEMBLY,,0600000000000000000004242,NY,2755,Commodities/Supplies,,0,2755,0,OPEN,12/31/2012,03/30/2015,,135610,Yes,135609.5,Authority Contract - Non-Competitive Bid,,Sole Source,USA,No,135609.5,Yes,NYS,DAIMLER BUSES NORTH AMERICA INC.,No
0,,13424,59216.35,ORISKANY,165 BASE RD,08/24/2010,C600945332 VALVE ASSEMBLY SOLENOID BRAKE,,,NY,2756,Commodities/Supplies,,0,2756,128131.25,OPEN,08/24/2010,11/23/2012,,134045,No,5913.75,Authority Contract - Non-Competitive Bid,,,USA,No,134045,Yes,NYS,DAIMLER BUSES NORTH AMERICA INC.,No
1,,13424,93533.58,ORISKANY,165 BASE RD,07/25/2011,RADIATOR ASSEMBLY BOLTED COMPLETE,,0600000000000000000000875,NY,2757,Commodities/Supplies,,0,2757,104668.53,OPEN,07/22/2011,10/24/2013,,133617.4,Yes,28948.87,Authority Contract - Non-Competitive Bid,,Sole Source,USA,No,133617.4,Yes,NYS,DAIMLER BUSES NORTH AMERICA INC.,No
0,,13424,39955.86,ORISKANY,165 BASE RD,05/13/2010,C600935756 RAMP-FLEX SHAFT FOR RAMP-FLEX SHAFT,,,NY,2758,Commodities/Supplies,,0,2758,131901.07,OPEN,05/13/2010,08/13/2012,,132018,No,116.83,Authority Contract - Non-Competitive Bid,,,USA,No,132017.9,Yes,NYS,DAIMLER BUSES NORTH AMERICA INC.,No
1,,13424,82797.65,ORISKANY,165 BASE RD,12/21/2011,VALVE RELAY R12 DC 55 PSI SERVICE,,0600000000000000000001766,NY,2759,Commodities/Supplies,,0,2759,82797.65,OPEN,12/21/2011,03/20/2013,,129108.2,No,46310.55,Authority Contract - Non-Competitive Bid,,,USA,No,129108.2,Yes,NYS,DAIMLER BUSES NORTH AMERICA INC.,No
1,,13424,83130.24,ORISKANY,165 BASE RD,06/13/2011,SELECTOR TRANSMISSION SHIFT 3 BUTTON ZF HYBRID WITH GRAY 12 PIN DEUTSCH CONNECTOR,,0600000000000000000000638,NY,2760,Commodities/Supplies,,0,2760,105107.2,OPEN,06/13/2011,09/12/2013,,128995.2,Yes,23888,Authority Contract - Non-Competitive Bid,,Sole Source,USA,No,128995.2,Yes,NYS,DAIMLER BUSES NORTH AMERICA INC.,No
7,,13424,21325,ORISKANY,165 BASE RD,05/26/2010,C600933616 SHAFT DRIVE ASSEMBLY,,,NY,2761,Commodities/Supplies,,0,2761,99801,OPEN,04/19/2010,07/19/2012,,,No,28149,Authority Contract - Competitive Bid,,,USA,No,127950,Yes,NYS,DAIMLER BUSES NORTH AMERICA INC.,Yes
9,,13424,74547.72,ORISKANY,165 BASE RD,02/16/2012,"PRB110976 85-75-0014 -DRUM, REAR BRAKE",,,NY,2762,Commodities/Supplies,,0,2762,74547.72,OPEN,11/16/2011,02/15/2013,,,No,52884.28,Authority Contract - Competitive Bid,,,USA,No,127432,Yes,NYS,DAIMLER BUSES NORTH AMERICA INC.,Yes
10,,13424,7770,ORISKANY,165 BASE RD,05/31/2012,SET BEARING   663 AND RACE   653 REAR OUTER HUB,,0600000000000000000002971,NY,2763,Commodities/Supplies,,1,2763,7770,OPEN,05/31/2012,08/30/2014,,,No,116550,Authority Contract - Competitive Bid,,,USA,No,124320,Yes,NYS,DAIMLER BUSES NORTH AMERICA INC.,Yes
1,,13424,0,ORISKANY,165 BASE RD,07/02/2012,RADIATOR/COOLER ASSEMBLY SIDE BY SIDE,,0600000000000000000002313,NY,2764,Commodities/Supplies,,0,2764,0,OPEN,03/09/2012,06/06/2014,,122613.48,No,122613.48,Authority Contract - Non-Competitive Bid,,,USA,No,122613.48,Yes,NYS,DAIMLER BUSES NORTH AMERICA INC.,No
0,,13424,40624.5,ORISKANY,165 BASE RD,03/05/2010,C600929134 RADIATOR CAC OIL COOLER ASSY,,,NY,2765,Commodities/Supplies,,0,2765,88019.75,OPEN,03/05/2010,06/05/2012,,121874,No,33853.75,Authority Contract - Non-Competitive Bid,,,USA,No,121873.5,Yes,NYS,DAIMLER BUSES NORTH AMERICA INC.,No
0,,13424,57855,ORISKANY,165 BASE RD,12/28/2010,C600944864 BLOWER BOOSTER ASSEMBLY 24 VOLT,,,NY,2766,Commodities/Supplies,,0,2766,109620,OPEN,08/18/2010,11/16/2012,,121800,No,12180,Authority Contract - Non-Competitive Bid,,,USA,No,121800,Yes,NYS,DAIMLER BUSES NORTH AMERICA INC.,No
1,,13424,101250,ORISKANY,165 BASE RD,11/17/2011,BUMPER EXTENSION PAINTED SIDE RADIATOR,,0600000000000000000001021,NY,2767,Commodities/Supplies,,0,2767,101250,OPEN,11/17/2011,11/18/2013,,121500,Yes,20250,Authority Contract - Non-Competitive Bid,,Sole Source,USA,No,121500,Yes,NYS,DAIMLER BUSES NORTH AMERICA INC.,No
0,,13424,32400,ORISKANY,165 BASE RD,06/21/2010,C600932285 FILTER ELEMENT MAIN HYDRAULIC TANK,,,NY,2768,Commodities/Supplies,,0,2768,109026,OPEN,04/05/2010,07/05/2012,,121500,No,12474,Authority Contract - Non-Competitive Bid,,,USA,No,121500,Yes,NYS,DAIMLER BUSES NORTH AMERICA INC.,No
1,,13424,115705,ORISKANY,165 BASE RD,12/09/2011,CORE AND HEADER ASSEMBLY RADIATOR,,0600000000000000000001693,NY,2769,Commodities/Supplies,,0,2769,115705,OPEN,12/09/2011,03/08/2013,,118875,Yes,3170,Authority Contract - Non-Competitive Bid,,Sole Source,USA,No,118875,Yes,NYS,DAIMLER BUSES NORTH AMERICA INC.,No
0,,13424,32390,ORISKANY,165 BASE RD,03/16/2010,C600930088 VALVE ASSEMBLY KNEELING MOMENTARY,,,NY,2770,Commodities/Supplies,,0,2770,118500,OPEN,03/16/2010,06/15/2012,,118500,No,0,Authority Contract - Non-Competitive Bid,,,USA,No,118500,Yes,NYS,DAIMLER BUSES NORTH AMERICA INC.,No
1,,13424,28825.2,ORISKANY,165 BASE RD,07/16/2012,"J121246 77-15-0007 wheel, steel",,,NY,2771,Commodities/Supplies,,0,2771,28825.2,OPEN,07/16/2012,01/15/2014,,,No,88610.8,Authority Contract - Competitive Bid,,,USA,No,117436,Yes,NYS,DAIMLER BUSES NORTH AMERICA INC.,Yes
0,,13424,8480,ORISKANY,165 BASE RD,04/28/2010,C600934460 PUMP ASSEMBLY CIRCULATING,,,NY,2772,Commodities/Supplies,,0,2772,106000,OPEN,04/28/2010,12/16/2011,,117095,No,11095,Authority Contract - Non-Competitive Bid,,,USA,No,117095,Yes,NYS,DAIMLER BUSES NORTH AMERICA INC.,No
0,,13424,58500,ORISKANY,165 BASE RD,05/26/2010,C600928205 COOLER CHARGED AIR,,,NY,2773,Commodities/Supplies,,0,2773,80925,OPEN,02/25/2010,05/25/2012,,117000,No,36075,Authority Contract - Non-Competitive Bid,,,USA,No,117000,Yes,NYS,DAIMLER BUSES NORTH AMERICA INC.,No
1,,13424,58415.94,ORISKANY,165 BASE RD,07/08/2011,AIR DRYER ASSY,,0600000000000000000000804,NY,2774,Commodities/Supplies,,0,2774,65496.66,OPEN,07/08/2011,10/07/2013,,112111.4,Yes,46614.74,Authority Contract - Non-Competitive Bid,,Sole Source,USA,No,112111.4,Yes,NYS,DAIMLER BUSES NORTH AMERICA INC.,No
1,,13424,91920.21,ORISKANY,165 BASE RD,08/03/2011,PUMP ASSEMBLY CIRCULATING INCLUDES VALVES AND FITTINGS (PUMP ONLY 79-19- 0259,,0600000000000000000000937,NY,2775,Commodities/Supplies,,0,2775,96888.87,OPEN,08/03/2011,11/02/2013,,111795,Yes,14905.98,Authority Contract - Non-Competitive Bid,,Sole Source,USA,No,111794.85,Yes,NYS,DAIMLER BUSES NORTH AMERICA INC.,No
0,,13424,14706.16,ORISKANY,165 BASE RD,04/26/2010,C600924936 TANK ASSEMBLY SURGE STAINLESS STEEL REC,,,NY,2776,Commodities/Supplies,,0,2776,66177.72,OPEN,01/25/2010,04/25/2012,,,No,44118.48,Authority Contract - Non-Competitive Bid,,,USA,No,110296.2,Yes,NYS,DAIMLER BUSES NORTH AMERICA INC.,No
1,,13424,68478.75,ORISKANY,165 BASE RD,04/10/2012,COOLER CHARGED AIR,,0600000000000000000002609,NY,2777,Commodities/Supplies,,0,2777,68478.75,OPEN,04/10/2012,07/09/2013,,109566,Yes,41087.25,Authority Contract - Non-Competitive Bid,,Sole Source,USA,No,109566,Yes,NYS,DAIMLER BUSES NORTH AMERICA INC.,No
1,,13424,35964.72,ORISKANY,165 BASE RD,11/08/2011,SLIDER BASE PROPULSION CONTROL SYSTEM,,0600000000000000000001543,NY,2778,Commodities/Supplies,,0,2778,50132.64,OPEN,11/08/2011,02/07/2014,,108984,Yes,58851.36,Authority Contract - Non-Competitive Bid,,Sole Source,USA,No,108984,Yes,NYS,DAIMLER BUSES NORTH AMERICA INC.,No
4,,13424,0,ORISKANY,165 BASE RD,06/29/2012,"PRB111095 88-27-0003 Module, T2-MBC-32, Main Electrical Panel, Orion VII Hybrid",,,NY,2779,Commodities/Supplies,,0,2779,0,OPEN,05/15/2012,08/14/2014,,,No,108396.9,Authority Contract - Competitive Bid,,,USA,No,108396.9,Yes,NYS,DAIMLER BUSES NORTH AMERICA INC.,Yes
0,,13424,60775.65,ORISKANY,165 BASE RD,08/25/2010,C600945539 POWER PACK UNIT ASSEMBLY,,,NY,2780,Commodities/Supplies,,0,2780,105794.65,OPEN,08/25/2010,11/23/2012,,108046,No,2250.95,Authority Contract - Non-Competitive Bid,,,USA,No,108045.6,Yes,NYS,DAIMLER BUSES NORTH AMERICA INC.,No
4,,13424,21608.19,ORISKANY,165 BASE RD,06/14/2012,"J111146 86-27-0192 Module, Control Vapor",,,NY,2781,Commodities/Supplies,,0,2781,21608.19,OPEN,03/14/2012,06/13/2014,,,No,86432.76,Authority Contract - Competitive Bid,,,USA,No,108040.95,Yes,NYS,DAIMLER BUSES NORTH AMERICA INC.,Yes
5,,13424,43450.25,ORISKANY,165 BASE RD,06/16/2011,ENGINE MOUNT NEOPRENE CUMMINS ENGINE ORION HYBRID,,0600000000000000000000668,NY,2782,Commodities/Supplies,,0,2782,67045.75,OPEN,06/16/2011,09/15/2013,,,No,39997.25,Authority Contract - Competitive Bid,,,USA,No,107043,Yes,NYS,DAIMLER BUSES NORTH AMERICA INC.,Yes
0,,13424,26723.1,ORISKANY,165 BASE RD,12/16/2009,C600920653 STEERING GEAR/PITMAN ARM ASSEMBLY,,,NY,2783,Commodities/Supplies,,0,2783,97984.7,OPEN,12/15/2009,03/15/2012,,,No,8907.7,Authority Contract - Non-Competitive Bid,,,USA,No,106892.4,Yes,NYS,DAIMLER BUSES NORTH AMERICA INC.,No
1,,13424,3944.3,ORISKANY,165 BASE RD,08/24/2012,POWER PACK UNIT ASSEMBLY,,0600000000000000000003457,NY,2784,Commodities/Supplies,,0,2784,3944.3,OPEN,08/24/2012,11/23/2014,,106496.1,Yes,102551.8,Authority Contract - Non-Competitive Bid,,Sole Source,USA,No,106496.1,Yes,NYS,DAIMLER BUSES NORTH AMERICA INC.,No
,,13424,37779.52,ORISKANY,165 BASE RD,03/01/2010,C2JOM090401 79-25-0039 Circulation Pump AS,,,NY,2785,Commodities/Supplies,,,2785,77920.26,OPEN,03/01/2010,05/31/2012,,106254.9,Yes,28334.64,Authority Contract - Non-Competitive Bid,,Sole Source,USA,No,106254.9,Yes,NYS,DAIMLER BUSES NORTH AMERICA INC.,No
6,,13424,20886.2,ORISKANY,165 BASE RD,11/05/2009,C600916738 AIR BAG FRONT,,,NY,2786,Commodities/Supplies,,0,2786,95830.8,OPEN,11/05/2009,02/03/2012,,,No,8600.2,Authority Contract - Competitive Bid,,,USA,No,104431,Yes,NYS,DAIMLER BUSES NORTH AMERICA INC.,Yes
